GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	S_250754_Probe_4A_50_S24	INDIGO.NoDrug.Control
Rv1738	Rv1738	hypothetical protein	cholesterol:29%; ctl_stationary:13%	6.5189	5.70147783772962e-09	13.06	18	6	4	23	21	2926.36	18.02
pfkB	Rv2029c	6-phosphofructokinase PfkB	cholesterol:21%; hypoxia_hypoxic:21%	6.1201	2.68043809887496e-09	14.87	12	12	42	15	4	500.11	5.23
Rv0079	Rv0079	hypothetical protein	hypoxia_fatty_acids:18%; cholesterol:10%	5.9936	1.61258389703621e-09	18.33	11	13	5	16	68	2982.82	44.03
prpC	Rv1131	methylcitrate synthase PrpC	human_sputum:22%; hypoxia_fatty_acids:16%; PBS_RIF_DDmtb:15%; acidic_tyloxopol:14%; nutrient_limitation:11%	6.1166	6.20660239393952e-10	22.92	10	14	15	10	100	3307.14	52.51
fdxA	Rv2007c	ferredoxin	hypoxia_hypoxic:16%; ctl_stationary:15%	6.3158	6.64819168515114e-09	18.43	15	9	8	22	50	4407.57	36.2
Rv3829c	Rv3829c	dehydrogenase	butyrate_plus_glucose:20%; hypoxia_late:12%; human_sputum:12%; ctl_stationary:10%	5.4808	1.80609321110384e-09	21.27	16	26	21	12	35	993.22	26.44
narK2	Rv1737c	nitrate/nitrite transporter	cholesterol:34%; hypoxia_hypoxic:11%	5.9223	2.3917372849959e-09	22.46	14	16	98	13	6	677.42	10.16
Rv1405c	Rv1405c	methyltransferase	nutrient_limitation:23%; ctl_stationary:19%	5.7778	3.34316624157948e-09	24.68	13	17	10	19	92	3392.76	59.35
Rv0826	Rv0826	hypothetical protein	hypoxia_fatty_acids:27%; human_sputum:21%	5.472	5.89892633819709e-09	22.71	19	22	26	21	26	1004.26	22.13
mbtB	Rv2383c	phenyloxazoline synthase	low_iron:51%; hypoxia_late:12%	5.1823	6.91349960377522e-10	30.79	20	45	79	11	19	356.62	15.99
fadA5	Rv3546	acetyl-CoA acetyltransferase FadA	hypoxia_fatty_acids:48%; hypoxia_late:10%; human_sputum:10%	5.1183	1.30137526961849e-08	25.06	22	28	30	26	20	623.45	18.11
fadD19	Rv3515c	long-chain-fatty-acid--CoA ligase FadD19	hypoxia_fatty_acids:41%; ctl_stationary:10%	4.9652	1.05316149253598e-08	27.5	23	35	44	25	15	428.77	15.27
Rv0080	Rv0080	hypothetical protein	hypoxia_fatty_acids:19%	5.3858	4.32636279996885e-08	26.77	24	18	9	39	56	2257.24	40
ctpF	Rv1997	cation transporter ATPase F	ctl_stationary:21%; hypoxia_hypoxic:12%; cholesterol:11%	4.8324	7.84250528313553e-09	28.43	30	47	47	20	9	162.99	6.68
PE_PGRS10	Rv0747	PE-PGRS family protein PE_PGRS10	microaerophilic:31%; hypoxia_late:12%	4.8104	8.80249612456848e-09	31.49	25	46	65	24	11	237.49	10.24
Rv3134c	Rv3134c	universal stress protein	cholesterol:21%; hypoxia_hypoxic:14%; nutrient_limitation:12%	5.294	1.94449089533572e-08	37.39	21	24	51	28	75	2279.06	54.99
Rv3128c	Rv3128c	conserved hypothetical protein	ctl_stationary:18%; microaerophilic:16%; hypoxia_hypoxic:15%; cholesterol:10%	4.8853	4.25610470741519e-08	28.72	31	32	23	37	22	475.58	14.78
Rv1733c	Rv1733c	transmembrane protein	cholesterol:33%; nutrient_limitation:12%; butyrate:12%	5.0952	9.06525077308173e-08	27.59	33	23	18	42	25	576.86	12.53
hsp	Rv0251c	heat shock protein	hypoxia_fatty_acids:57%; ctl_stationary:11%	5.2363	6.22749936257612e-08	33.7	26	19	11	43	94	3262.96	67.49
acg	Rv2032	NAD(P)H nitroreductase	cholesterol:23%; hypoxia_hypoxic:14%; butyrate:11%; ctl_stationary:10%	5.0665	3.74242214477469e-08	34.28	28	27	85	31	16	477.46	12.68
PE_PGRS57	Rv3514	PE-PGRS family protein PE_PGRS57	cholesterol:24%; hypoxia_late:20%	4.4968	5.549724970088e-09	45.64	29	78	159	17	8	138.67	9.46
Rv3538	Rv3538	dehydrogenase	hypoxia_fatty_acids:24%; hypoxia_late:14%; human_sputum:14%	4.8231	7.84601088091628e-08	34.68	32	30	38	41	33	649.45	20.81
Rv2028c	Rv2028c	universal stress protein	cholesterol:17%; hypoxia_hypoxic:16%; ctl_stationary:13%	4.7832	1.37423921089573e-07	35.53	39	31	35	46	28	410.63	12.3
PE_PGRS50	Rv3345c	PE-PGRS family protein PE_PGRS50	hypoxia_late:56%	4.3995	3.69448870248124e-08	47.64	36	68	131	32	10	47.14	1.63
PE_PGRS54	Rv3508	PE-PGRS family protein PE_PGRS54	cholesterol:19%; hypoxia_late:17%	4.1509	5.2185650450687e-09	49.64	40	120	102	18	13	140.58	14.61
Rv3127	Rv3127	hypothetical protein	cholesterol:18%; butyrate:16%; hypoxia_hypoxic:10%	4.4063	1.2226364932271e-07	45.23	34	43	27	52	78	1011.08	49.75
hsaF	Rv3534c	4-hydroxy-2-oxovalerate aldolase	microaerophilic:38%; hypoxia_fatty_acids:18%	4.3797	1.62569422873246e-07	43.63	38	44	40	54	43	534.96	25.57
icl1	Rv0467	isocitrate lyase	nutrient_limitation:38%; hypoxia_fatty_acids:11%; human_sputum:11%	4.7329	2.5486581862504e-08	53.3	27	39	22	35	209	3738.8	166.47
echA20	Rv3550	enoyl-CoA hydratase EchA20	human_sputum:36%; hypoxia_fatty_acids:12%; hypoxia_late:12%	4.4387	2.67172067395552e-07	45.1	49	38	19	68	61	801.17	32.97
fadE30	Rv3560c	acyl-CoA dehydrogenase FadE30	human_sputum:43%; hypoxia_late:21%	4.3132	1.79122692679197e-07	46	48	49	41	55	38	348.73	17.44
Rv0194	Rv0194	multidrug ABC transporter ATPase/permease	hypoxia_late:28%; ctl_stationary:14%; human_sputum:14%	4.2215	2.29341962293756e-08	56.36	43	92	162	27	12	126.74	9.74
Rv3129	Rv3129	conserved hypothetical protein	cholesterol:38%; nutrient_limitation:12%; butyrate:10%	4.8649	9.20637538764862e-07	43.21	57	21	16	82	59	871.39	18.12
Rv3529c	Rv3529c	hypothetical protein	hypoxia_fatty_acids:43%; hypoxia_late:11%	4.3109	1.85334806582103e-07	49.58	45	51	56	57	40	416.97	21.31
mbtD	Rv2381c	polyketide synthetase	low_iron:49%; hypoxia_late:11%; human_sputum:11%	4.0598	3.01767201151527e-08	51.58	47	101	62	33	29	240.42	21.66
narX	Rv1736c	nitrate reductase-like protein NarX	cholesterol:18%; ctl_stationary:16%; hypoxia_hypoxic:14%	4.1378	7.20600906916662e-08	52.68	41	72	78	40	39	378.09	27.81
devR	Rv3133c	two component transcriptional regulator DevR	hypoxia_hypoxic:16%; cholesterol:14%; ctl_stationary:10%	4.4262	3.15110252624825e-07	51.29	42	37	14	70	124	2351.34	97.8
Rv1375	Rv1375	hypothetical protein	acidic_tyloxopol:21%; acidic:19%	4.2591	9.55749543119266e-08	56.4	37	56	31	48	132	1816.89	112.48
PE_PGRS22	Rv1091	PE-PGRS family protein PE_PGRS22	hypoxia_late:26%	4.1896	5.4009712540634e-08	60.52	46	77	176	34	18	165.88	11.71
devS	Rv3132c	two component sensor histidine kinase DevS	cholesterol:17%; nutrient_limitation:13%; hypoxia_hypoxic:12%	4.1813	6.35630265459977e-08	56.8	35	70	43	38	114	1310.62	95.09
PE_PGRS55	Rv3511	PE-PGRS family protein PE_PGRS55	hypoxia_late:44%	4.0444	1.19423059802516e-07	52.82	51	84	74	44	23	151.45	10.89
fadE27	Rv3505	acyl-CoA dehydrogenase FadE27	hypoxia_fatty_acids:14%; hypoxia_late:14%	4.1191	2.67761861795929e-07	52.54	52	57	33	67	57	543.65	32.84
Rv2004c	Rv2004c	hypothetical protein	hypoxia_hypoxic:20%; cholesterol:19%; microaerophilic:14%	4.1327	1.54427436145505e-07	62.23	44	65	114	50	49	462.89	31.08
Rv1996	Rv1996	universal stress protein	cholesterol:33%; microaerophilic:13%	4.2236	5.40562029324938e-07	55.38	58	48	53	74	46	341.46	16.75
otsB1	Rv2006	trehalose-6-phosphate phosphatase OtsB	hypoxia_hypoxic:15%; ctl_stationary:10%	3.8957	2.12785894550569e-08	69.92	53	135	89	30	64	374.94	44.94
PE_PGRS14	Rv0834c	PE-PGRS family protein PE_PGRS14	microaerophilic:59%	4.0117	6.2607264103235e-08	68.33	50	98	166	36	30	228.7	19.91
PE_PGRS52	Rv3388	PE-PGRS family protein PE_PGRS52	hypoxia_late:39%	4.1092	4.75969445272366e-07	64.53	77	71	112	56	24	73.77	3.79
Rv1129c	Rv1129c	transcriptional regulator	hypoxia_fatty_acids:18%; human_sputum:16%	3.8691	3.48585155865751e-07	63.96	62	83	55	69	53	337.75	26.46
fadE34	Rv3573c	acyl-CoA dehydrogenase FadE34	hypoxia_late:31%; hypoxia_fatty_acids:12%; ctl_stationary:11%	3.943	2.11293207438677e-07	76.29	65	94	182	47	31	155.14	12.04
clpB	Rv0384c	chaperone protein ClpB	hypoxia_fatty_acids:43%	3.7879	1.00967415194071e-07	78.11	54	116	104	45	84	530.44	57.65
mbtC	Rv2382c	polyketide synthetase	low_iron:42%; hypoxia_late:15%; human_sputum:11%	3.8841	5.77209790013899e-07	71.93	69	74	94	75	51	260.73	18.64
fadE28	Rv3544c	acyl-CoA dehydrogenase FadE28	hypoxia_fatty_acids:27%	3.9045	6.8293712608689e-07	72.38	64	69	50	83	101	802.79	55.73
fadD18	Rv3513c	fatty-acid--CoA ligase FadD18	hypoxia_fatty_acids:28%; ctl_stationary:16%; hypoxia_late:16%	4.1233	2.24728650874007e-06	64.76	71	40	49	100	72	273.4	11.83
Rv3502c	Rv3502c	short-chain type dehydrogenase/reductase	hypoxia_fatty_acids:17%; microaerophilic:14%; cholesterol:10%	3.8857	9.47203535381025e-07	69.63	66	64	46	88	89	548.44	36.97
mbtE	Rv2380c	peptide synthetase	low_iron:44%; human_sputum:12%	3.7047	2.38715112978118e-08	83.83	67	170	143	29	52	250.03	37.05
nrdZ	Rv0570	vitamin B12-dependent ribonucleoside-diphosphate reductase	cholesterol:17%; ctl_stationary:14%; hypoxia_hypoxic:12%	3.6435	2.30367455024378e-07	74.35	68	117	61	62	70	362.85	39.63
whiB6	Rv3862c	transcriptional regulator WhiB6	hypoxia_fatty_acids:39%; zinc_limitation:24%	4.2175	4.42944239161091e-06	68.08	84	33	17	127	120	1214.98	43.94
Rv2005c	Rv2005c	universal stress protein	cholesterol:20%; ctl_stationary:15%; microaerophilic:14%; hypoxia_hypoxic:11%	3.9921	7.79552301842632e-07	78.95	59	58	88	84	112	1175.34	74.14
cyp125	Rv3545c	steroid C26-monooxygenase	hypoxia_fatty_acids:39%	3.7374	5.88071744402437e-07	76.22	70	90	52	80	93	544.39	46.53
kstD	Rv3537	3-oxosteroid 1-dehydrogenase	hypoxia_fatty_acids:31%; human_sputum:11%	3.8938	3.35604310634436e-07	88.27	60	85	242	60	45	264.29	21.02
Rv2622	Rv2622	methyltransferase	hypoxia_late:22%; ctl_stationary:14%; low_iron:13%; butyrate:11%	4.1252	1.25024652930104e-06	86.08	63	50	226	81	54	376.31	18.99
fadE31	Rv3562	acyl-CoA dehydrogenase FadE31	hypoxia_late:24%; human_sputum:21%	3.7482	1.27687971725097e-06	75.6	78	80	67	87	67	282.27	21.26
PE_PGRS13	Rv0833	PE-PGRS family protein PE_PGRS13	microaerophilic:24%; hypoxia_late:19%	3.6463	3.70762347821186e-07	80.9	72	114	139	63	37	136.93	13.85
PE_PGRS38	Rv2162c	PE-PGRS family protein PE_PGRS38	microaerophilic:22%	3.7677	2.81394658618539e-07	89.77	55	100	48	65	224	2145.49	204.64
fadD3	Rv3561	fatty-acid--CoA ligase FadD3	human_sputum:37%; hypoxia_late:23%	3.9123	4.63847027726586e-07	93.96	61	79	286	64	47	260.97	19.51
hsaG	Rv3535c	acetaldehyde dehydrogenase	microaerophilic:44%; hypoxia_fatty_acids:15%	3.8195	1.98485537996016e-06	80.61	76	66	83	101	79	341.39	22.52
Rv3530c	Rv3530c	oxidoreductase	hypoxia_fatty_acids:44%; human_sputum:13%	3.8613	2.84116822118506e-06	78.5	83	60	59	110	86	327.07	19.38
PE_PGRS56	Rv3512	PE-PGRS family protein PE_PGRS56	hypoxia_late:47%	3.7101	6.03456696938883e-07	88.04	74	111	209	66	27	40	2.66
MT3615.4	MT3615.4	hypothetical protein	hypoxia_fatty_acids:39%	4.3706	1.72972752023937e-05	74.38	107	25	13	162	131	768.54	19.23
Rv0452	Rv0452	transcriptional regulator	tyloxopol:14%; ctl_stationary:11%; hypoxia_late:11%; hypoxia_fatty_acids:10%	3.7674	3.31020227253976e-06	79.54	85	62	39	119	107	503.69	32.26
PPE11	Rv0453	PPE family protein PPE11	hypoxia_late:32%	3.5133	1.44046241229854e-06	82.99	86	109	77	93	55	161.59	15.69
Rv0193c	Rv0193c	hypothetical protein	hypoxia_late:19%; PBS_RIF_DDmtb:12%; ctl_stationary:11%; human_sputum:11%	3.5429	4.88093454824869e-07	90.44	73	123	101	72	88	394	44.15
PE_PGRS30	Rv1651c	PE-PGRS family protein PE_PGRS30	microaerophilic:27%; hypoxia_late:13%	3.4777	2.33385763078443e-07	96.33	81	158	191	53	41	151.65	20.42
Rv3549c	Rv3549c	short-chain type dehydrogenase/reductase	human_sputum:32%; hypoxia_fatty_acids:11%; microaerophilic:11%	3.7424	2.76214319503838e-06	83.39	80	67	60	111	105	630.19	43.59
fadE26	Rv3504	acyl-CoA dehydrogenase FadE26	hypoxia_fatty_acids:15%; hypoxia_late:12%; ctl_stationary:10%	3.6849	1.48367654857359e-06	88.92	79	88	118	92	71	286.25	23.14
PE_PGRS15	Rv0872c	PE-PGRS family protein PE_PGRS15	microaerophilic:43%	3.4534	6.04007031564834e-07	99.31	82	136	92	79	113	652.41	79.83
Rv3553	Rv3553	oxidoreductase	human_sputum:23%; hypoxia_late:22%; hypoxia_fatty_acids:10%	3.5871	3.05942710542881e-06	89.72	94	87	81	108	80	231.37	18.91
vapC17	Rv2527	ribonuclease VapC17	human_sputum:18%; hypoxia_late:10%	3.865	1.16131137866189e-05	86.1	96	42	36	153	138	1074.55	52.85
PE_PGRS9	Rv0746	PE-PGRS family protein PE_PGRS9	hypoxia_late:40%	3.5606	1.45192461589127e-06	102	97	125	212	71	42	66.9	6.16
PE_PGRS6	Rv0532	PE-PGRS family protein PE_PGRS6	hypoxia_late:26%	3.3977	1.27789638190609e-06	91.42	87	134	95	85	63	166.86	18.97
rpfA	Rv0867c	resuscitation-promoting factor RpfA	tyloxopol:14%; human_sputum:12%	3.5416	1.19053686938734e-06	105.42	75	105	57	95	229	2156.91	216.41
groEL2	Rv0440	molecular chaperone GroEL	acidic_tyloxopol:13%; hypoxia_fatty_acids:11%	3.7626	2.94022812665966e-07	125.82	56	103	45	59	579	6201.97	603.03
Rv3559c	Rv3559c	oxidoreductase	human_sputum:28%; hypoxia_late:22%	3.5874	5.51215586844095e-06	90.49	95	76	54	129	108	340.48	25.24
PPE62	Rv3533c	PPE family protein PPE62	microaerophilic:31%; human_sputum:16%; hypoxia_late:14%	3.3307	1.87100757725231e-06	99.78	92	143	115	96	62	143.73	16.83
Rv2621c	Rv2621c	transcriptional regulator	hypoxia_fatty_acids:18%; microaerophilic:14%; ctl_stationary:14%; low_iron:13%	3.5378	7.19445004898648e-06	96.98	89	73	63	137	135	821.44	63.54
PE_PGRS26	Rv1441c	PE-PGRS family protein PE_PGRS26	hypoxia_late:26%; human_sputum:11%	3.3993	2.56971903237927e-06	107.3	93	122	145	107	76	181.42	18.97
PPE23	Rv1706c	PPE family protein PPE23	hypoxia_late:24%; human_sputum:11%	3.462	3.81760815995474e-06	109.83	98	106	146	112	91	219.36	20.45
PPE22	Rv1705c	PPE family protein PPE22	hypoxia_late:27%; human_sputum:13%	3.586	3.01699251493539e-06	119.19	88	95	266	103	81	250.28	21.27
mbtI	Rv2386c	salicylate synthase	low_iron:49%	3.289	3.83814390154359e-06	110.54	104	128	108	117	97	197.58	22.1
fadE33	Rv3564	acyl-CoA dehydrogenase FadE33	hypoxia_late:31%; human_sputum:23%	3.5106	8.64563117378874e-06	111.76	110	93	126	130	102	183.19	14.46
Rv1462	Rv1462	hypothetical protein	low_iron:27%; zinc_limitation:16%	3.2592	3.40172286428851e-06	112.34	91	130	80	118	150	894.91	106.71
PE_PGRS19	Rv1067c	PE-PGRS family protein PE_PGRS19	hypoxia_late:33%	3.4317	4.81288963783354e-06	113.87	116	131	172	98	66	52.56	4.63
PE_PGRS24	Rv1325c	PE-PGRS family protein PE_PGRS24	hypoxia_late:24%; microaerophilic:18%	3.2665	2.56557468695133e-06	116.77	103	146	177	99	73	118.67	14.49
PE_PGRS3	Rv0278c	PE-PGRS family protein PE_PGRS3	microaerophilic:30%; hypoxia_late:29%	3.3359	2.05088500710998e-06	124.51	114	166	283	77	44	49.31	5.73
fadE32	Rv3563	acyl-CoA dehydrogenase FadE32	hypoxia_late:36%; human_sputum:15%	3.5214	8.48822871458276e-06	115.77	109	86	169	124	99	183.88	14.55
groEL1	Rv3417c	chaperonin GroEL	microaerophilic:22%; hypoxia_fatty_acids:13%	3.1881	1.96768861182595e-06	121.93	90	160	103	104	162	943.75	134
PE_PGRS53	Rv3507	PE-PGRS family protein PE_PGRS53	hypoxia_late:22%; microaerophilic:16%	3.1411	4.17319245483194e-07	128.48	105	234	300	61	36	70.08	12.82
PE8	Rv1040c	PE family protein PE8	hypoxia_late:45%; human_sputum:12%	3.7599	4.44657502854694e-05	104.72	167	61	64	136	116	80.1	3.4
PE_PGRS46	Rv2634c	PE-PGRS family protein PE_PGRS46	hypoxia_late:43%	3.2669	3.20246337801901e-06	124.1	117	159	220	94	60	62.59	7.51
Rv1739c	Rv1739c	sulfate ABC transporter permease	cholesterol:17%; ctl_stationary:16%; nutrient_limitation:10%	3.257	2.61860121477022e-06	124.1	99	148	204	105	82	181.89	22.81
PE_PGRS21	Rv1087	PE-PGRS family protein PE_PGRS21	hypoxia_late:20%; cholesterol:12%	3.1997	1.8769290744125e-06	125.28	108	174	240	86	58	106.09	14.75
PE_PGRS43	Rv2490c	PE-PGRS family protein PE_PGRS43	hypoxia_late:61%	3.219	1.56238270750569e-06	126.4	119	210	276	73	32	24.09	2.82
fadE29	Rv3543c	acyl-CoA dehydrogenase FadE29	hypoxia_fatty_acids:20%; human_sputum:11%; hypoxia_late:10%	3.2351	4.65625608118487e-06	115.08	102	129	100	123	123	472.03	55.32
hsaE	Rv3536c	hydratase	microaerophilic:35%; hypoxia_fatty_acids:18%	3.3796	9.97643355430329e-06	116.46	106	96	105	145	134	557.24	50.18
Rv2251	Rv2251	flavoprotein	hypoxia_late:14%; PBS_RIF_DDmtb:11%; ctl_stationary:11%	3.277	3.5680411899212e-06	125.08	100	138	189	114	95	231.38	27.12
mbtF	Rv2379c	peptide synthetase	low_iron:40%; hypoxia_late:10%	3.0609	2.7401244034208e-07	142.28	111	281	260	58	74	185.09	40.66
pks7	Rv1661	polyketide synthase	hypoxia_late:29%	2.969	2.04289639656097e-07	151.02	123	356	348	49	34	72.83	18.57
argJ	Rv1653	bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase	hypoxia_late:21%; hypoxia_hypoxic:14%	3.2152	6.35855470152987e-06	119.22	113	132	120	126	106	233.23	26.98
kmtR	Rv0827c	HTH-type transcriptional regulator KmtR	butyrate:26%; hypoxia_fatty_acids:10%; cholesterol:10%	3.6456	6.18709552957139e-05	112.57	126	53	73	188	151	365.12	19.14
accA1	Rv2501c	acetyl-/propionyl-CoA carboxylase subunit alpha	microaerophilic:40%; low_iron:10%	3.0974	2.15145618063209e-06	141.36	101	183	244	102	103	333.03	52.54
Rv0648	Rv0648	alpha-mannosidase	hypoxia_late:54%	2.9875	4.52848815703119e-06	136.74	140	238	188	89	65	29.2	4.44
PE_PGRS27	Rv1450c	PE-PGRS family protein PE_PGRS27	hypoxia_late:51%	3.0961	4.22095988106933e-06	148.89	127	203	364	90	48	24.13	2.87
Rv3551	Rv3551	CoA-transferase subunit alpha	human_sputum:33%; hypoxia_late:13%; hypoxia_fatty_acids:12%	3.1777	1.86984865568121e-05	126.4	118	112	122	154	128	301.11	31.88
Rv0575c	Rv0575c	oxidoreductase	hypoxia_late:15%; ctl_stationary:12%; hypoxia_fatty_acids:12%; cholesterol:12%	3.1594	2.33373291531731e-05	126.38	137	133	97	147	121	107.95	11.37
PE_PGRS36	Rv2098c	PE-PGRS family protein	hypoxia_late:52%	3.3784	4.69899994087027e-05	137.42	162	104	171	138	118	50.15	3.32
serA1	Rv2996c	D-3-phosphoglycerate dehydrogenase	zinc_limitation:11%	2.9466	5.30955694612727e-06	151.78	115	188	181	125	157	671.12	111.26
PPE3	Rv0280	PPE family protein PPE3	human_sputum:38%; zinc_limitation:15%; microaerophilic:15%	2.9511	4.45197007080465e-06	155.84	112	189	125	121	253	1381.85	233.58
PE_PGRS45	Rv2615c	PE-PGRS family protein PE_PGRS45	hypoxia_late:23%	2.9163	1.13858375941603e-05	141.64	121	176	150	146	119	195.76	29.71
mbtA	Rv2384	bifunctional salicyl-AMP ligase/salicyl-S-ArCP synthetase	hypoxia_late:39%; low_iron:19%	3.1482	1.5829293032778e-05	156.36	136	154	310	122	96	66.6	7.69
PE_PGRS58	Rv3590c	PE-PGRS family protein PE_PGRS58	hypoxia_late:34%	2.8801	1.55033808052985e-05	149.15	138	196	170	139	110	82.74	12.87
MT0600	MT0600	hypothetical protein	hypoxia_hypoxic:19%; ctl_stationary:15%	4.5367	0.000405924758725234	128.15	234	20	72	210	192	292.31	4.28
PE_PGRS23	Rv1243c	PE-PGRS family protein PE_PGRS23	hypoxia_late:40%	3.0685	2.32090711398411e-05	156.96	141	164	254	132	111	62.61	7.62
MT1775	MT1775	hypothetical protein	nutrient_limitation:42%; cholesterol:23%	3.426	0.000121668734118468	139.38	147	59	90	241	202	698.87	44.3
mrr	Rv2528c	restriction system protein	hypoxia_late:16%; ctl_stationary:12%	2.9288	3.19978244719622e-05	148.34	129	149	135	177	154	383.64	50.39
vapB17	Rv2526	antitoxin VapB17	hypoxia_late:23%; human_sputum:13%; ctl_stationary:11%	3.5689	0.000161514874871472	132.25	150	41	25	295	278	1736.77	85.82
hsaD	Rv3569c	4,5:9,10-diseco-3-hydroxy-5,9, 17-trioxoandrosta-1(10),2-diene-4-oate hydrolase	hypoxia_fatty_acids:25%; nutrient_limitation:11%	2.9394	3.08735790348004e-05	154.01	125	147	130	180	194	712.55	92.92
Rv3861	Rv3861	hypothetical protein	hypoxia_fatty_acids:35%; zinc_limitation:24%	3.4568	0.000143285801371285	140.65	149	55	82	259	211	714.29	42.32
ltp2	Rv3540c	lipid transfer protein	human_sputum:15%; hypoxia_fatty_acids:11%; hypoxia_late:10%	2.8381	2.41398811847306e-05	154.96	134	178	158	167	140	272.65	41.4
PE_PGRS51	Rv3367	PE-PGRS family protein PE_PGRS51	microaerophilic:27%; hypoxia_late:16%	2.727	9.92528806892477e-06	161.7	132	230	195	142	122	193.25	37.4
cyp142	Rv3518c	cytochrome P450 monooxygenase Cyp142	hypoxia_fatty_acids:27%	2.7667	1.98852709365795e-05	159.64	131	191	119	169	196	657.36	110.59
Rv1376	Rv1376	hypothetical protein	hypoxia_late:11%; human_sputum:10%	2.7356	1.28566574891489e-05	162.33	128	213	178	150	149	401.39	74.65
PPE36	Rv2108	PPE family protein PPE36	human_sputum:18%; hypoxia_hypoxic:10%	2.8858	5.32960449192574e-05	160.38	133	142	96	208	245	1067.7	136.9
PPE4	Rv0286	PPE family protein PPE4	microaerophilic:32%; low_iron:11%	2.7794	9.77009008725676e-06	182.32	122	211	185	144	267	1232.83	230.08
eccD3	Rv0290	ESX-3 secretion system protein EccD	microaerophilic:42%; zinc_limitation:12%; low_iron:10%	2.7574	1.22539859694156e-05	179.94	124	208	133	151	313	1543.24	284.06
PE_PGRS48	Rv2853	PE-PGRS family protein PE_PGRS48	hypoxia_late:29%	2.7421	1.721491767796e-05	176.38	142	229	278	143	115	110.3	20.35
PE_PGRS42	Rv2487c	PE-PGRS family protein PE_PGRS42	hypoxia_late:60%	2.981	6.65810288034652e-05	170.8	202	179	205	148	127	29.95	3.02
mycP3	Rv0291	membrane-anchored mycosin MycP	microaerophilic:42%; zinc_limitation:12%	2.7145	1.57068510711024e-05	181.69	130	214	141	159	285	1249.93	234.13
metE	Rv1133c	5-methyltetrahydropteroyltriglutamate-- homocysteine methyltransferase	microaerophilic:14%	2.7542	3.50933520815406e-06	205.42	120	272	179	109	416	2016.16	451.25
argC	Rv1652	N-acetyl-gamma-glutamyl-phoshate reductase	hypoxia_late:23%; hypoxia_hypoxic:10%	2.8789	7.26817778502172e-05	166.4	168	161	174	182	148	122.11	15.85
Rv2974c	Rv2974c	hypothetical protein	hypoxia_late:32%	2.6673	3.76631162122734e-05	171.47	152	219	184	171	137	134.26	23.9
Rv3832c	Rv3832c	hypothetical protein	butyrate_plus_glucose:60%; butyrate:20%	2.9873	0.000124032778483406	162.14	151	108	117	248	208	410.64	42.67
Rv3201c	Rv3201c	ATP-dependent DNA helicase	hypoxia_late:26%; zinc_limitation:20%	2.6566	7.31621892129315e-06	199.02	159	325	394	115	87	45.89	10.38
Rv3202c	Rv3202c	ATP-dependent DNA helicase	hypoxia_late:23%; zinc_limitation:22%; microaerophilic:10%	2.6485	7.63581936295101e-06	199.28	155	309	412	116	90	47.19	10.77
