GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	sputum_250754_W0	sputum_503557_W0
Rv1734c	Rv1734c	hypothetical protein	nutrient_limitation:49%; cholesterol:21%	3.9051	1.39787827903696e-06	18.82	18	24	35	11	11	561.17	31.24
Rv3127	Rv3127	hypothetical protein	cholesterol:18%; butyrate:16%; hypoxia_hypoxic:10%	3.6032	6.04793241744375e-07	19.2	11	29	33	12	16	1012.08	79.03
MT1775	MT1775	hypothetical protein	nutrient_limitation:42%; cholesterol:23%	3.4568	1.66741262391671e-06	23.24	22	33	44	15	10	699.39	58.22
Rv3128c	Rv3128c	conserved hypothetical protein	ctl_stationary:18%; microaerophilic:16%; hypoxia_hypoxic:15%; cholesterol:10%	3.3183	1.5087046222926e-06	24.2	15	39	42	17	15	477.09	44.38
cyp51	Rv0764c	lanosterol 14-alpha demethylase	microaerophilic:15%; hypoxia_fatty_acids:11%; butyrate:10%; ctl_stationary:10%; hypoxia_late:10%	3.2529	1.74383593949404e-06	23.53	16	41	36	18	13	197.97	18.28
narK2	Rv1737c	nitrate/nitrite transporter	cholesterol:34%; hypoxia_hypoxic:11%	3.3169	1.83733466856227e-06	25.62	14	40	51	14	19	674.61	64.24
hspX	Rv2031c	alpha-crystallin	cholesterol:42%; hypoxia_hypoxic:15%	3.2606	3.19430383466771e-06	24.58	13	43	23	16	34	14737.2	1505.93
Rv1996	Rv1996	universal stress protein	cholesterol:33%; microaerophilic:13%	3.2399	2.29545069821018e-06	26.24	23	44	37	19	14	341.41	32.92
vapB9	Rv0959A	antitoxin VapB9	hypoxia_fatty_acids:11%	4.5357	0.000293800514528244	23.07	49	7	7	30	39	131.81	0.66
Rv2005c	Rv2005c	universal stress protein	cholesterol:20%; ctl_stationary:15%; microaerophilic:14%; hypoxia_hypoxic:11%	3.1806	2.88235093326525e-06	25.98	17	45	29	20	23	1177.45	124.94
Rv0569	Rv0569	hypothetical protein	cholesterol:23%; ctl_stationary:20%	3.1482	3.06027965534725e-06	27.49	19	46	34	25	18	1356.46	143.79
acg	Rv2032	NAD(P)H nitroreductase	cholesterol:23%; hypoxia_hypoxic:14%; butyrate:11%; ctl_stationary:10%	3.1303	3.16618550966175e-06	28.57	20	48	38	22	20	478.25	51.27
vapB37	Rv2104c	antitoxin VapB37	INDIGO_exponential:10%	3.3611	5.24435689846798e-05	29.04	33	32	24	24	33	263.25	20.19
Rv2004c	Rv2004c	hypothetical protein	hypoxia_hypoxic:20%; cholesterol:19%; microaerophilic:14%	3.1137	3.28454981912348e-06	28.49	21	51	30	23	22	462.89	50.55
Rv1739c	Rv1739c	sulfate ABC transporter permease	cholesterol:17%; ctl_stationary:16%; nutrient_limitation:10%	3.1137	3.20209032731166e-06	31.58	24	52	53	21	17	181.66	18.72
fdxA	Rv2007c	ferredoxin	hypoxia_hypoxic:16%; ctl_stationary:15%	2.9616	8.28178103931947e-06	35.83	25	60	40	28	31	4405.31	550.12
ctpF	Rv1997	cation transporter ATPase F	ctl_stationary:21%; hypoxia_hypoxic:12%; cholesterol:11%	3.0402	4.81786655499961e-06	38.15	26	58	72	26	21	162.21	17.74
MT2092	MT2092	hypothetical protein	cholesterol:26%; hypoxia_fatty_acids:12%; ctl_stationary:10%	3.0178	2.46412091120061e-05	36.26	27	50	45	32	30	910.4	100.13
nat	Rv3566c	arylamine N-acetyltransferase	hypoxia_late:11%; human_sputum:10%	3.0203	1.46791685065812e-05	41.69	28	55	88	27	25	184.27	19.61
Rv0081	Rv0081	HTH-type transcriptional regulator	ctl_stationary:12%; hypoxia_fatty_acids:11%	2.8938	1.35615505500405e-05	37.01	32	62	39	33	24	649.68	81.05
narX	Rv1736c	nitrate reductase-like protein NarX	cholesterol:18%; ctl_stationary:16%; hypoxia_hypoxic:14%	2.8786	1.04814029372078e-05	40.46	29	66	61	29	26	379	48.79
otsB1	Rv2006	trehalose-6-phosphate phosphatase OtsB	hypoxia_hypoxic:15%; ctl_stationary:10%	2.7748	1.70757901177335e-05	44.73	31	71	58	34	36	376.05	52.58
nrdZ	Rv0570	vitamin B12-dependent ribonucleoside-diphosphate reductase	cholesterol:17%; ctl_stationary:14%; hypoxia_hypoxic:12%	2.805	1.55846068130722e-05	47.14	30	68	95	31	28	362.33	49.32
mmpL6	Rv1557	transmembrane transport protein MmpL6	hypoxia_late:15%; acidic_tyloxopol:12%	2.6443	3.23980836911121e-05	45.66	34	79	59	36	29	167.33	24.25
Rv2028c	Rv2028c	universal stress protein	cholesterol:17%; hypoxia_hypoxic:16%; ctl_stationary:13%	2.4789	5.80096482613511e-05	51.08	35	92	68	40	32	410.37	69.68
MT3631	MT3631	hypothetical protein	hypoxia_fatty_acids:22%; hypoxia_late:20%	3.0341	0.00092956941170272	48.6	69	38	27	39	80	147.33	12.22
Rv2252	Rv2252	diacylglycerol kinase	PBS_RIF_DDmtb:15%; hypoxia_late:11%	2.4684	0.000146688543530906	54.4	39	90	67	42	42	114.75	18.21
Rv3488	Rv3488	hypothetical protein	hypoxia_late:18%	2.829	0.000701690191149536	56.84	58	57	78	37	58	131.39	14.5
hsaE	Rv3536c	hydratase	microaerophilic:35%; hypoxia_fatty_acids:18%	2.393	8.19333965630668e-05	57.36	36	96	86	44	38	556.4	101.85
MTS1338	MTS1338	small intergenic RNA	cholesterol:30%; nutrient_limitation:25%; hypoxia_fatty_acids:14%	2.5433	0.000421010063220151	56.31	71	82	57	38	40	514.31	80.47
Rv3527	Rv3527	hypothetical protein	hypoxia_fatty_acids:29%	2.3737	0.0001014704994105	58.05	37	98	79	51	37	458.77	83.36
MT1717	MT1717	hypothetical protein	high_iron:10%; butyrate:10%	2.8146	0.000880591978407351	57.12	83	56	47	41	63	431.85	50.62
pfkB	Rv2029c	6-phosphofructokinase PfkB	cholesterol:21%; hypoxia_hypoxic:21%	2.3277	0.000103658771315089	59.07	38	105	73	50	41	499.1	95.63
Rv1357c	Rv1357c	hypothetical protein	hypoxia_late:18%; ctl_stationary:14%	2.629	0.00066985201313715	62.4	57	76	71	43	68	40.3	4.45
kstR	Rv3574	HTH-type transcriptional regulator KstR	hypoxia_fatty_acids:27%	2.3552	0.000116534040996606	62.99	40	102	107	49	35	475.63	88.51
accA1	Rv2501c	acetyl-/propionyl-CoA carboxylase subunit alpha	microaerophilic:40%; low_iron:10%	2.2927	0.000124945891807663	61.74	41	112	69	52	46	334.68	65.31
yrbE3A	Rv1964	integral membrane protein	hypoxia_late:20%; microaerophilic:13%; ctl_stationary:11%; PBS_RIF_DDmtb:11%	2.9209	0.00118610381347155	63.54	97	53	81	35	61	40.68	2.93
hsaD	Rv3569c	4,5:9,10-diseco-3-hydroxy-5,9, 17-trioxoandrosta-1(10),2-diene-4-oate hydrolase	hypoxia_fatty_acids:25%; nutrient_limitation:11%	2.2849	0.000131115568978995	63.66	42	110	76	53	48	715.49	141.86
Rv3177	Rv3177	peroxidase	hypoxia_late:16%; butyrate:12%; ctl_stationary:11%	3.1896	0.00261624120706984	60.14	123	28	46	57	65	23.56	0
Rv3538	Rv3538	dehydrogenase	hypoxia_fatty_acids:24%; hypoxia_late:14%; human_sputum:14%	2.2655	0.000155247001528333	66.77	45	115	85	54	47	650.02	130.3
Rv0765c	Rv0765c	oxidoreductase	hypoxia_fatty_acids:19%; microaerophilic:19%; ctl_stationary:12%; hypoxia_late:11%	2.2718	0.000259155000928297	64.4	47	107	70	55	51	162.09	30.59
Rv3166c	Rv3166c	hypothetical protein	hypoxia_late:19%	2.4983	0.000287316917904824	75.31	43	84	185	47	52	81.31	11.93
Rv3529c	Rv3529c	hypothetical protein	hypoxia_fatty_acids:43%; hypoxia_late:11%	2.2472	0.0001633088165065	69.11	44	117	100	56	44	418.76	84.43
Rv2621c	Rv2621c	transcriptional regulator	hypoxia_fatty_acids:18%; microaerophilic:14%; ctl_stationary:14%; low_iron:13%	2.1876	0.000199348704772765	69.89	46	121	82	59	53	823.02	174.78
Rv2331A	Rv2331A	hypothetical protein	nutrient_limitation:18%	2.8059	0.00169190396955282	68.93	110	59	60	45	79	103.26	10.98
Rv3530c	Rv3530c	oxidoreductase	hypoxia_fatty_acids:44%; human_sputum:13%	2.1464	0.000250280033294266	73.52	50	127	97	66	43	327.24	70.39
ureF	Rv1851	urease accessory protein UreF	hypoxia_late:33%	2.3133	0.000875674582158141	70.68	63	101	63	60	70	93.8	15.92
hspR	Rv0353	heat shock protein transcriptional repressor HspR	hypoxia_fatty_acids:11%; microaerophilic:11%	2.1458	0.000267768937914647	74.22	51	126	94	69	45	645.07	139.18
echA20	Rv3550	enoyl-CoA hydratase EchA20	human_sputum:36%; hypoxia_fatty_acids:12%; hypoxia_late:12%	2.1036	0.000305307387065838	78.1	52	136	91	71	54	803.91	180.83
desA2	Rv1094	acyl-ACP desaturase DesA	INDIGO_exponential:12%	2.119	0.000312063256247159	79.71	48	134	93	67	69	1718.72	384.87
nirB	Rv0252	nitrite reductase large subunit NirB	nutrient_limitation:18%; hypoxia_late:14%; hypoxia_rar:12%; hypoxia_hypoxic:12%	2.1016	0.000280969982869415	80.4	55	141	106	68	49	129.31	28.1
PE8	Rv1040c	PE family protein PE8	hypoxia_late:45%; human_sputum:12%	2.2405	0.000990013292492336	79.4	70	113	89	63	67	79.77	14.39
sadH	Rv3085	oxidoreductase SadH	hypoxia_late:18%; nutrient_limitation:16%	2.7665	0.0024973604060236	87.33	133	64	136	48	74	32.07	2.36
Rv3013	Rv3013	hypothetical protein	hypoxia_late:25%	2.235	0.0008202415992539	89.13	67	114	172	61	55	160.94	30.98
fadA5	Rv3546	acetyl-CoA acetyltransferase FadA	hypoxia_fatty_acids:48%; hypoxia_late:10%; human_sputum:10%	2.0803	0.000355818593207702	87.51	53	144	126	76	57	624.36	142.85
yrbE3B	Rv1965	integral membrane protein	hypoxia_late:27%; microaerophilic:14%; ctl_stationary:11%	2.6757	0.00205667195170798	91.02	101	67	177	46	88	38.05	3.74
aroE	Rv2552c	shikimate 5-dehydrogenase	microaerophilic:40%	2.0956	0.000719840986987544	86.31	59	135	118	73	60	137.25	29.08
Rv3134c	Rv3134c	universal stress protein	cholesterol:21%; hypoxia_hypoxic:14%; nutrient_limitation:12%	2.0566	0.000385447132722891	89	54	147	92	78	86	2275.75	534.96
Rv1290A	Rv1290A	hypothetical protein	hypoxia_late:26%; human_sputum:13%	3.5034	0.00847739154459633	77.85	221	14	13	104	137	43.32	0
kshB	Rv3571	3-ketosteroid-9-alpha-hydroxylase reductase subunit	hypoxia_fatty_acids:28%; hypoxia_late:12%; ctl_stationary:11%	2.0985	0.000387960801279948	96.56	56	137	207	72	50	244.01	53.72
Rv2826c	Rv2826c	hypothetical protein	microaerophilic:27%	2.1408	0.00105412843289058	90.73	66	123	135	70	71	88.4	17.44
Rv3656c	Rv3656c	hypothetical protein	hypoxia_late:25%; ctl_stationary:11%	3.7452	0.00933539575308468	83.77	271	9	5	125	166	60.63	0
Rv0767c	Rv0767c	HTH-type transcriptional regulator	hypoxia_fatty_acids:25%; hypoxia_late:16%; butyrate:16%	2.2192	0.00125968097967071	91.42	65	109	154	65	78	94.83	17.57
mftC	Rv0693	mycofactocin radical SAM maturase MftC	nutrient_limitation:21%; tyloxopol:12%	1.9263	0.000634616478156805	95.84	62	163	110	94	66	426.04	108.36
hsaB	Rv3567c	flavin-dependent monooxygenase reductase subunit HsaB	hypoxia_fatty_acids:14%; nutrient_limitation:11%	1.9756	0.000740355781880572	97.39	61	155	148	89	56	341.11	81.8
hsp	Rv0251c	heat shock protein	hypoxia_fatty_acids:57%; ctl_stationary:11%	1.9259	0.000670068797867048	98.95	60	164	96	90	98	3263.99	840.69
Rv0839	Rv0839	hypothetical protein	low_iron:13%	2.0792	0.00119465235410948	100.25	73	129	159	77	77	94.54	19.93
MT0943	MT0943	hypothetical protein	ctl_stationary:17%; hypoxia_late:17%	2.9491	0.00721784137832886	91.06	230	34	75	58	109	76.75	5.32
Rv0574c	Rv0574c	hypothetical protein	ctl_stationary:16%; hypoxia_late:15%	2.0364	0.00089221471520597	104.52	72	149	192	79	59	110.12	24.41
hsaA	Rv3570c	flavin-dependent monooxygenase oxygenase subunit HsaA	hypoxia_fatty_acids:25%; human_sputum:13%	1.8985	0.000725519300422388	101.8	64	172	101	97	89	812	211.8
hsaC	Rv3568c	extradiol dioxygenase	hypoxia_fatty_acids:19%	1.8791	0.000797895549870873	103.21	68	173	108	99	82	768.04	202.79
cydD	Rv1621c	cytochrome biosyntheisis ABC transporter ATP-binding protein/permease CydD	hypoxia_late:15%	1.9587	0.000980954315232989	105.52	75	157	171	85	62	86.21	20.25
Rv2517c	Rv2517c	hypothetical protein	hypoxia_fatty_acids:32%	2.1341	0.00264289205313746	104.14	105	119	99	82	118	190.27	38.04
fadE34	Rv3573c	acyl-CoA dehydrogenase FadE34	hypoxia_late:31%; hypoxia_fatty_acids:12%; ctl_stationary:11%	1.8716	0.000808933600966276	105	77	179	125	98	64	153.24	39.78
Rv1048c	Rv1048c	hypothetical protein	hypoxia_fatty_acids:28%; hypoxia_late:12%	2.1115	0.00198372023371081	106.38	94	131	151	74	91	51.92	9.94
Rv2250A	Rv2250A	flavoprotein	hypoxia_late:14%; ctl_stationary:13%; hypoxia_fatty_acids:10%	1.9721	0.00167733005321309	103.37	98	152	105	93	76	263.12	62.56
mpr5	Rvnc0007	fragment of putative small regulatory RNA	hypoxia_late:19%	2.206	0.0031417123885559	105.79	100	103	90	88	154	350.01	65.27
PE14	Rv1214c	PE family protein PE14	hypoxia_late:14%	2.3088	0.00405964201269126	107.14	127	94	117	75	128	100.33	16.59
Rv2265	Rv2265	integral membrane protein	hypoxia_late:41%; ctl_stationary:10%	2.4984	0.00505972480340975	114.39	157	83	205	62	93	17.5	1.16
Rv2636	Rv2636	O-phosphotransferase	acidic_tyloxopol:15%; hypoxia_late:12%; acidic:11%; ctl_stationary:10%	2.2653	0.00241697040832536	121.56	87	104	288	64	113	62.87	10.46
Rv0823c	Rv0823c	tRNA-dihydrouridine synthase	low_iron:14%; INDIGO_exponential:11%	1.8343	0.000943041609770868	110.28	76	189	113	105	84	480.29	130.4
MT2593.2	MT2593.2	hypothetical protein	hypoxia_late:14%; human_sputum:14%	3.3456	0.0145772826835322	103.69	353	19	20	115	158	53.37	0.82
vapB34	Rv1740	antitoxin VapB34	ctl_stationary:11%	2.0469	0.00286569184495353	109.82	111	130	104	91	115	266.4	58.02
MT2617	MT2617	hypothetical protein	acidic:16%	2.5629	0.0081593609898561	110.9	184	65	55	87	204	84.26	9.33
MT3626	MT3626	hypothetical protein	hypoxia_fatty_acids:30%	1.8153	0.00103986038679066	114.9	79	193	111	112	94	570.12	156.96
vapC14	Rv1953	ribonuclease VapC14	acidic_tyloxopol:11%	2.4936	0.00656378941694165	116.47	142	77	127	81	169	74.86	9.53
accD1	Rv2502c	acetyl-/propionyl-CoA carboxylase subunit beta	low_iron:17%; microaerophilic:13%; butyrate:12%	1.8384	0.000965617097112086	116.71	74	184	157	102	85	390.28	105.98
glpD1	Rv2249c	glycerol-3-phosphate dehydrogenase	hypoxia_late:28%; ctl_stationary:11%; PBS_RIF_DDmtb:11%	1.8985	0.00125556307008196	117.54	82	168	190	95	75	80.11	19.58
Rv0250c	Rv0250c	hypothetical protein	hypoxia_fatty_acids:19%; ctl_exponential:11%	1.8247	0.00112817838574872	115.9	85	185	137	117	72	788.06	213.99
rpfD	Rv2389c	resuscitation-promoting factor RpfD	hypoxia_rar:11%; nutrient_limitation:11%	1.8918	0.00135732974598316	116.68	84	166	180	100	73	328.68	83.85
MT3013	MT3013	hypothetical protein	high_iron:11%; hypoxia_rar:10%	2.0192	0.00280028566483391	116.64	95	133	128	101	129	239.34	52.64
kshA	Rv3526	3-ketosteroid-9-alpha-hydroxylase oxygenase subunit	hypoxia_fatty_acids:31%	1.8098	0.00107556745442311	119.89	78	192	147	107	92	574.36	159.5
lpqA	Rv3016	lipoprotein LpqA	zinc_limitation:15%	1.8974	0.00222680010974285	119.15	104	161	130	109	97	139.63	34.31
MT0717.1	MT0717.1	hypothetical protein	ctl_stationary:21%	2.5275	0.00851409932376459	118.13	171	70	112	84	173	74.58	8.77
fadE28	Rv3544c	acyl-CoA dehydrogenase FadE28	hypoxia_fatty_acids:27%	1.8132	0.00113642679969068	122.53	81	194	140	111	101	800.62	221.38
MT0600	MT0600	hypothetical protein	hypoxia_hypoxic:19%; ctl_stationary:15%	2.0048	0.00392704874940955	121.45	122	140	109	106	132	293.8	65.32
grpE	Rv0351	stress response protein GrpE	hypoxia_fatty_acids:17%; microaerophilic:16%	1.8033	0.00117708224311144	123.19	80	195	121	116	117	1956.17	547.47
desA3	Rv3229c	stearoyl-CoA 9-desaturase	nutrient_limitation:25%; PBS_RIF_DDmtb:11%	1.7895	0.00121362830995235	125.01	90	201	124	120	103	533.07	149.38
MT3671.2	MT3671.2	hypothetical protein	human_sputum:21%; hypoxia_fatty_acids:12%	2.0873	0.00586720153511981	126.41	145	120	103	103	167	207.11	42.06
ltp3	Rv3523	lipid carrier protein	cholesterol:10%; nutrient_limitation:10%	1.7874	0.00133158205400242	129.36	93	199	168	122	83	351.45	98.26
fadD19	Rv3515c	long-chain-fatty-acid--CoA ligase FadD19	hypoxia_fatty_acids:41%; ctl_stationary:10%	1.7808	0.00123815957050074	130.84	86	202	153	123	105	428.8	120.93
Rv0944	Rv0944	formamidopyrimidine-DNA glycosylase	hypoxia_late:39%; human_sputum:10%	2.588	0.0120642588554721	123.1	222	63	84	96	187	37	3
MT3653.1	MT3653.1	hypothetical protein	human_sputum:32%; hypoxia_late:14%; butyrate:13%	1.8874	0.003079571586606	130.05	109	159	139	124	122	668.52	168.06
dnaJ1	Rv0352	chaperone protein DnaJ	microaerophilic:16%; hypoxia_fatty_acids:13%	1.7727	0.00133106576077183	131.94	88	203	132	126	123	1043.21	298.3
rocD1	Rv2322c	ornithine aminotransferase rocD1	hypoxia_late:16%; ctl_stationary:12%	2.0558	0.00324184265342587	141.58	96	128	323	86	124	71.4	14.64
Rv0082	Rv0082	oxidoreductase	hypoxia_late:14%; ctl_stationary:11%; hypoxia_hypoxic:11%	1.8063	0.00197593451225873	133.14	103	191	167	128	90	288.48	77.95
fadE27	Rv3505	acyl-CoA dehydrogenase FadE27	hypoxia_fatty_acids:14%; hypoxia_late:14%	1.7632	0.00135624755556548	130.94	92	206	144	127	100	542.64	155.22
Rv3072c	Rv3072c	hypothetical protein	hypoxia_late:16%	2.5095	0.0105187275569602	136.43	198	69	199	83	164	35.71	3.39
fadE19	Rv2500c	acyl-CoA dehydrogenase FadE19	microaerophilic:24%; low_iron:10%	1.7922	0.00134585236004626	137.71	89	197	234	119	81	349.5	97.29
Rv3055	Rv3055	TetR family transcriptional regulator	hypoxia_late:15%	2.1932	0.00978400591285756	137.07	199	106	115	92	191	35.5	5.52
desA1	Rv0824c	acyl-ACP desaturase DesA	hypoxia_hypoxic:10%; INDIGO_exponential:10%	1.7624	0.00150900088656892	142	91	208	176	131	119	947.61	271.76
Rv2622	Rv2622	methyltransferase	hypoxia_late:22%; ctl_stationary:14%; low_iron:13%; butyrate:11%	1.7121	0.00166428518377469	135.77	107	219	142	141	87	376.21	110.85
ASdes	ASdes	putative small regulatory RNA	INDIGO_exponential:10%	1.7427	0.00227599346998247	136.25	113	209	131	146	95	850.5	242.88
Rv3167c	Rv3167c	TetR family transcriptional regulator	hypoxia_late:24%; ctl_stationary:17%	2.6902	0.0196447786615889	129.48	345	42	32	145	200	17.54	0
mhpE	Rv3469c	4-hydroxy-2-oxovalerate aldolase MhpE	hypoxia_late:26%; ctl_stationary:14%; PBS_RIF_DDmtb:13%	2.121	0.00800474769979844	143.91	190	125	204	80	139	29.3	4.91
Rv2574	Rv2574	hypothetical protein	human_sputum:10%	1.8067	0.00368905993587887	138.24	132	186	129	133	116	172.59	45.53
fadE29	Rv3543c	acyl-CoA dehydrogenase FadE29	hypoxia_fatty_acids:20%; human_sputum:11%; hypoxia_late:10%	1.7247	0.00160737312882102	141.39	102	218	155	138	108	473.45	138.9
hsaF	Rv3534c	4-hydroxy-2-oxovalerate aldolase	microaerophilic:38%; hypoxia_fatty_acids:18%	1.7475	0.00161832301530084	144.85	99	215	184	137	106	536.76	154.19
adhD	Rv3086	alcohol dehydrogenase D	nutrient_limitation:15%	1.7547	0.00259903969387894	139.68	116	205	152	134	102	102.27	27.99
mymA	Rv3083	FAD-containing monooxygenase MymA	nutrient_limitation:15%	1.8553	0.00258395948962042	158.62	106	183	339	108	107	52.87	12.73
MT2736.1	MT2736.1	hypothetical protein	ctl_stationary:22%; acidic_tyloxopol:14%; hypoxia_fatty_acids:12%; PBS_RIF_DDmtb:11%	3.3928	0.0284450350239326	134.9	376	13	50	170	224	65.11	0.93
Rv3531c	Rv3531c	hypothetical protein	hypoxia_fatty_acids:38%; human_sputum:11%	1.6886	0.00184364531778183	143.25	108	226	134	148	114	495.64	149.14
esxT	Rv3444c	ESAT-6 like protein EsxT	hypoxia_late:22%	3.1374	0.0277746205924797	139.57	400	22	31	174	244	32.47	0
Rv3642c	Rv3642c	hypothetical protein	human_sputum:17%	1.7219	0.00297924736402707	144.95	117	212	133	151	121	593.13	170.53
Rv1154c	Rv1154c	hypothetical protein	ctl_stationary:9%	1.8539	0.00646626597666786	145.13	156	165	116	130	162	68.41	16.39
adh	Rv1530	alcohol dehydrogenase	hypoxia_late:21%	1.8596	0.00582346992617901	156.24	140	170	220	113	148	39.34	9.04
ptkA	Rv2232	protein tyrosine kinase transcriptional regulator PtkA	hypoxia_late:14%	1.7416	0.00308245978664728	153.37	120	210	198	142	110	137.29	38.1
Rv1188	Rv1188	proline dehydrogenase	hypoxia_late:31%	1.8402	0.00518760007945024	159.28	136	178	236	118	141	53.83	12.88
Rv0552	Rv0552	hypothetical protein	hypoxia_late:18%	1.6534	0.00240919310315888	154.18	115	233	194	153	96	129.22	38.94
Rv2620c	Rv2620c	transmembrane protein	low_iron:18%; butyrate:14%; microaerophilic:13%; ctl_stationary:11%; hypoxia_fatty_acids:11%	1.6233	0.00256552226454681	151.04	121	237	149	160	104	706.75	222.12
MT1777	MT1777	hypothetical protein	nutrient_limitation:49%; ctl_stationary:23%; PBS_RIF_DDmtb:10%	2.0735	0.0113479437318936	155.5	191	122	145	114	218	118.46	23.12
ltp2	Rv3540c	lipid transfer protein	human_sputum:15%; hypoxia_fatty_acids:11%; hypoxia_late:10%	1.6495	0.00230333080593432	157.08	112	232	210	154	99	272.41	83.83
Rv1045	Rv1045	hypothetical protein	INDIGO_exponential:14%; PBS_RIF_DDmtb:12%; ctl_stationary:11%	1.8562	0.00510362222616675	177.12	128	180	350	129	138	63.84	15.11
Rv2251	Rv2251	flavoprotein	hypoxia_late:14%; PBS_RIF_DDmtb:11%; ctl_stationary:11%	1.6071	0.00263621330914367	155.51	119	240	165	158	111	229.74	72.59
Rv1977	Rv1977	hypothetical protein	ctl_stationary:11%	1.7512	0.00460781821136251	166.04	139	211	228	140	125	81.4	21.77
fadD3	Rv3561	fatty-acid--CoA ligase FadD3	human_sputum:37%; hypoxia_late:23%	1.6042	0.00277675391486153	160.28	118	241	173	164	120	259.41	82.28
birA	Rv3279c	bifunctional biotin operon repressor/biotin--[acetyl-CoA-carboxylase] synthetase	hypoxia_late:13%	1.7888	0.00626262740881172	169.91	141	188	209	139	178	57.88	14.42
pgsA3	Rv2746c	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	ctl_exponential:11%; ctl_stationary:10%	1.8056	0.00672032049328217	171.39	147	181	245	135	159	75.67	19.13
Rv3312A	Rv3312A	pilin	butyrate:14%; acidic_tyloxopol:14%; butyrate_plus_glucose:12%	1.6692	0.00448765317019983	165.8	134	221	179	162	140	286.94	84.68
Rv0258c	Rv0258c	hypothetical protein	cholesterol:10%	1.9603	0.0115083395473267	166.73	181	142	158	132	229	55.38	11.42
MT3615.4	MT3615.4	hypothetical protein	hypoxia_fatty_acids:39%	1.5756	0.00359571845493454	166.09	131	245	162	178	127	768.41	247.76
argJ	Rv1653	bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase	hypoxia_late:21%; hypoxia_hypoxic:14%	1.5804	0.00327458850854468	171.7	129	250	218	169	112	234.4	75.4
pks4	Rv1181	polyketide beta-ketoacyl synthase	acidic:18%; acidic_tyloxopol:15%; butyrate_plus_glucose:11%	1.6108	0.00304784048482752	182.84	114	243	255	157	165	315.2	100.09
cyp142	Rv3518c	cytochrome P450 monooxygenase Cyp142	hypoxia_fatty_acids:27%	1.5743	0.00336526703093406	178.77	125	252	214	168	149	658.16	215.12
proZ	Rv3756c	glycine betaine/carnitine/choline/L-proline ABC transporter permease ProZ	high_iron:12%	1.6335	0.00426224069284578	180.27	135	231	269	161	126	161.25	49.28
Rv1112	Rv1112	GTP-binding protein	hypoxia_late:28%; PBS_RIF_DDmtb:11%; ctl_stationary:10%	1.6915	0.00668349805078179	174.05	163	220	197	152	144	60	16.62
Rv3566A	Rv3566A	hypothetical protein	hypoxia_fatty_acids:12%	1.6931	0.00621642512610113	179.61	146	214	231	159	156	263.34	75.72
MT2895	MT2895	hypothetical protein	hypoxia_late:21%	3.6313	0.0592877826674962	168.88	653	8	6	258	327	65.8	0
sigJ	Rv3328c	ECF RNA polymerase sigma factor SigJ	hypoxia_late:15%	1.5867	0.00536835871011034	176.29	149	244	182	173	142	111.29	34.52
