GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	S_250754_Probe_4A_50_S24	S_687338_Probe_4A_100_S23
espA	Rv3616c	ESX-1 secretion-associated protein EspA	acidic:20%; acidic_tyloxopol:13%; zinc_limitation:11%; butyrate:10%	7.9798	1.88291519159733e-05	42.47	23	54	55	24	66	1476.21	0
PPE4	Rv0286	PPE family protein PPE4	microaerophilic:32%; low_iron:11%	7.8731	1.5864511170033e-05	43.96	24	68	62	21	57	1233.57	0
PPE19	Rv1361c	PPE family protein PPE19	acidic:23%	7.8731	1.95370062587357e-05	46.19	21	59	58	29	76	1364.02	0
mycP3	Rv0291	membrane-anchored mycosin MycP	microaerophilic:42%; zinc_limitation:12%	7.8332	1.94518445661449e-05	47.19	25	65	64	26	67	1250.01	0
MTS0900	MTS0900	small intergenic RNA	butyrate:33%; acidic_tyloxopol:15%; butyrate_plus_glucose:12%	8.5376	4.34889561870775e-05	33.29	49	7	8	84	52	3991.99	0
hupB	Rv2986c	DNA-binding protein HU	hypoxia_hypoxic:12%; hypoxia_rar:11%	7.9528	3.75101415777987e-05	54.21	31	38	36	59	130	1828.55	0
kasA	Rv2245	3-oxoacyl-ACP synthase 1	hypoxia_hypoxic:12%; high_iron:10%	7.7672	2.55786575328662e-05	54.25	32	66	63	36	83	1241.73	0
hrp1	Rv2626c	hypoxic response protein	cholesterol:32%; hypoxia_hypoxic:22%	8.1844	4.39898433660748e-05	53.41	43	22	19	72	155	2514.88	0
PPE60	Rv3478	PE family protein PPE60	acidic:25%	7.7359	2.66597698029689e-05	58.46	27	67	73	41	98	1241.41	0
Rv0080	Rv0080	hypothetical protein	hypoxia_fatty_acids:19%	8.0638	4.84486928092786e-05	58.24	39	28	31	79	148	2253.69	0
nadA	Rv1594	quinolinate synthetase A	zinc_limitation:11%	7.7655	3.38980883578759e-05	61.25	36	62	71	44	104	1324.87	0
espD	Rv3614c	ESX-1 secretion-associated protein EspD	acidic_tyloxopol:23%; acidic:22%	7.8236	5.05313121272721e-05	53.25	42	43	47	83	56	1766.18	0
Rv3829c	Rv3829c	dehydrogenase	butyrate_plus_glucose:20%; hypoxia_late:12%; human_sputum:12%; ctl_stationary:10%	7.5927	2.30441163112842e-05	64.27	30	106	96	31	80	994.34	0
groEL1	Rv3417c	chaperonin GroEL	microaerophilic:22%; hypoxia_fatty_acids:13%	7.5211	2.46739920386603e-05	69.1	35	118	89	35	89	943.26	0
pitA	Rv0545c	low-affinity inorganic phosphate transporter	high_iron:12%	7.5237	3.505867514795e-05	75.04	38	97	94	48	114	1043.4	0
fixA	Rv3029c	electron transfer flavoprotein subunit beta	hypoxia_hypoxic:11%; hypoxia_rar:11%; ctl_exponential:10%	7.5598	5.24353925737141e-05	60.38	48	64	66	80	47	1271.8	0
fadD31	Rv1925	fatty-acid--CoA ligase FadD31	tyloxopol:10%	7.4949	2.67703173256746e-05	76.91	40	131	144	30	74	876.38	0
rplC	Rv0701	50S ribosomal protein L3	acidic:9%	7.6393	5.94611731302084e-05	63.01	52	56	51	90	70	1453.54	0
katG	Rv1908c	catalase-peroxidase	zinc_limitation:35%	7.4049	2.39112915910609e-05	86.09	47	176	165	25	71	768.79	0
pks2	Rv3825c	phthioceranic/hydroxyphthioceranic acid synthase	nutrient_limitation:20%; PBS_RIF_DDmtb:15%; acidic:11%	7.4676	6.56041865649788e-06	111.24	62	336	368	6	24	531.24	0
rip3	Rv2625c	zinc metalloprotease Rip3	cholesterol:20%; hypoxia_hypoxic:16%; microaerophilic:15%; ctl_stationary:12%	7.4797	4.28734162588993e-05	78.06	44	99	88	52	121	1034.32	0
Rv0145	Rv0145	S-adenosylmethionine-dependent methyltransferase	nutrient_limitation:14%; PBS_RIF_DDmtb:10%	7.5243	5.30224319404576e-05	83.06	45	79	97	64	147	1158.03	0
Rv1322A	Rv1322A	hypothetical protein	human_sputum:11%; INDIGO_exponential:10%	7.8273	7.78512203576073e-05	66.78	61	37	38	97	120	1902.34	0
Rv2005c	Rv2005c	universal stress protein	cholesterol:20%; ctl_stationary:15%; microaerophilic:14%; hypoxia_hypoxic:11%	7.5083	5.28724131201205e-05	81.55	46	76	68	76	161	1178.13	0
PPE68	Rv3873	PPE family protein PPE68	hypoxia_rar:9%	7.4534	4.93674560579582e-05	87.1	41	98	120	60	136	1041.01	0
trpC	Rv1611	indole-3-glycerol phosphate synthase	INDIGO_exponential:13%; high_iron:11%; ctl_exponential:11%	7.4803	7.11650483048188e-05	72.8	64	75	84	85	58	1189.81	0
greA	Rv1080c	transcription elongation factor GreA	INDIGO_exponential:10%	7.7386	9.65815943945548e-05	77.12	80	45	41	103	137	1735.22	0
TB8.4	Rv1174c	low molecular weight T-cell antigen	acidic:8%	7.9242	0.000101483808291815	83.33	72	26	29	125	240	2302.12	0
Rv2190c	Rv2190c	endopeptidase	zinc_limitation:11%; ctl_exponential:10%	7.3962	5.54688598986009e-05	92.42	53	109	111	63	141	982.31	0
PPE20	Rv1387	PPE family protein PPE20	tyloxopol:12%; ctl_exponential:12%	7.3143	4.0569641959272e-05	100.43	50	158	166	49	112	813.82	0
pks1	Rv2946c	polyketide synthase	acidic:13%; high_iron:10%	7.2657	1.24903929588051e-05	121.9	71	354	332	14	36	513.09	0
Rv0826	Rv0826	hypothetical protein	hypoxia_fatty_acids:27%; human_sputum:21%	7.3791	5.578830659903e-05	92.82	51	104	87	75	165	1004.55	0
Rv1871c	Rv1871c	hypothetical protein	acidic:9%	7.8312	0.000128546729896419	85.34	99	35	33	115	192	2028.87	0
Rv3127	Rv3127	hypothetical protein	cholesterol:18%; butyrate:16%; hypoxia_hypoxic:10%	7.3744	6.35041081391674e-05	95.65	56	103	98	74	163	1008.77	0
lprQ	Rv0483	lipoprotein LprQ	zinc_limitation:14%; hypoxia_rar:11%	7.2877	5.33521972242966e-05	100.82	54	139	140	58	135	855.15	0
Rv0516c	Rv0516c	anti-anti-sigma factor	butyrate:17%	7.6193	9.46960175742181e-05	89.46	63	47	43	119	226	1613.34	0
desA1	Rv0824c	acyl-ACP desaturase DesA	hypoxia_hypoxic:10%; INDIGO_exponential:10%	7.2751	6.66420949700144e-05	89.27	55	116	139	87	63	944.9	0
Rv2624c	Rv2624c	universal stress protein	hypoxia_hypoxic:16%; hypoxia_fatty_acids:16%; cholesterol:14%; ctl_stationary:13%; microaerophilic:12%	7.4107	9.33817616859073e-05	83.45	90	83	72	92	81	1131.6	0
Rv0281	Rv0281	S-adenosylmethionine-dependent methyltransferase	microaerophilic:24%; zinc_limitation:11%	7.3498	8.21415384647116e-05	87.02	75	96	102	91	73	1041.05	0
Rv3680	Rv3680	anion transporter ATPase	acidic_tyloxopol:9%	7.1967	6.37698585542182e-05	95.06	65	142	156	81	53	849.57	0
icl1	Rv0467	isocitrate lyase	nutrient_limitation:38%; hypoxia_fatty_acids:11%; human_sputum:11%	7.0267	3.86159097483437e-06	138.91	26	129	238	537	15	3736.04	6.53
espB	Rv3881c	ESX-1 secretion-associated protein EspB	acidic:10%	7.2127	5.8141625479214e-05	112.87	58	164	150	70	146	805.22	0
hsaA	Rv3570c	flavin-dependent monooxygenase oxygenase subunit HsaA	hypoxia_fatty_acids:25%; human_sputum:13%	7.1403	6.44355908906846e-05	98.53	67	161	128	88	65	810.52	0
fhaA	Rv0020c	FHA domain-containing protein FhaA	human_sputum:8%	7.1978	5.52685327791495e-05	118.4	57	180	217	56	126	757.45	0
pknD	Rv0931c	serine/threonine-protein kinase PknD	microaerophilic:11%	7.1687	4.11838776356508e-05	125.69	60	228	258	45	109	677.44	0
qcrA	Rv2195	ubiquinol-cytochrome C reductase rieske iron-sulfur subunit	microaerophilic:12%; INDIGO_exponential:12%	7.2387	6.24932233041085e-05	114.11	59	149	162	71	153	841.89	0
PPE51	Rv3136	PPE family protein PPE51	zinc_limitation:19%; hypoxia_rar:12%	7.1639	7.54673703152639e-05	108.62	68	152	192	89	68	837.08	0
Rv0954	Rv0954	transmembrane protein	zinc_limitation:13%	7.1995	8.99683928927624e-05	107.99	66	119	116	104	143	934.5	0
PPE36	Rv2108	PPE family protein PPE36	human_sputum:18%; hypoxia_hypoxic:10%	7.2733	9.7929265357502e-05	106.87	70	92	79	113	202	1070.2	0
eccC5	Rv1783	ESX-5 type VII secretion system protein EccC5	acidic:9%	7.0992	2.02187513527642e-05	151.58	87	399	432	20	49	483.67	0
MT1178	MT1178	hypothetical protein	butyrate:32%; acidic_tyloxopol:15%; butyrate_plus_glucose:12%	8.2664	0.000183348531599343	119.53	124	9	7	176	606	3914.64	0
Rv3679	Rv3679	anion transporter ATPase	acidic_tyloxopol:11%	7.1576	8.84213104899675e-05	111.27	74	136	137	101	115	867.95	0
fadB2	Rv0468	3-hydroxybutyryl-CoA dehydrogenase	nutrient_limitation:29%	7.1979	9.21104537963405e-05	112.12	73	113	103	108	175	953.58	0
fadB	Rv0860	fatty oxidation protein FadB	cholesterol:15%	7.0517	4.44324407656284e-05	137.59	77	270	257	46	113	603.63	0
Rv1887	Rv1887	hypothetical protein	INDIGO_exponential:9%	7.099	8.80854309656054e-05	117.87	84	167	164	95	93	797.76	0
lsr2	Rv3597c	iron-regulated H-NS-like protein	hypoxia_hypoxic:17%	7.8505	0.000290115717410973	110.73	171	29	25	132	312	2167.21	0
rplT	Rv1643	50S ribosomal protein L20	hypoxia_hypoxic:9%	7.6741	0.000197073835662563	121.45	120	40	40	146	377	1810.37	0
Rv1404	Rv1404	transcriptional regulator	nutrient_limitation:14%	7.5038	0.000157808329574007	122.44	101	53	52	142	356	1477.09	0
Rv3131	Rv3131	NAD(P)H nitroreductase	cholesterol:35%; nutrient_limitation:14%; butyrate:10%	7.2953	2.85926516280287e-05	194.92	37	111	1192	312	1	1819.55	1.82
pra	Rv1078	hypothetical protein	tyloxopol:10%; ctl_exponential:10%	7.2392	0.000116365769120955	123.63	81	93	90	130	258	1048.71	0
accD4	Rv3799c	propionyl-CoA carboxylase subunit beta AccD	acidic:12%	7.0705	6.82222571498138e-05	141.19	79	216	232	69	151	691.78	0
PE5	Rv0285	PE family protein PE5	microaerophilic:49%	7.7583	0.000257024345976555	135.32	144	32	28	159	511	2098.6	0
hbhA	Rv0475	heparin binding hemagglutinin HbhA	hypoxia_hypoxic:13%; cholesterol:12%; hypoxia_rar:10%; zinc_limitation:10%	7.2987	0.000158390582195312	138.5	98	77	70	149	384	1173.92	0
korA	Rv2455c	2-oxoglutarate oxidoreductase subunit KorA	zinc_limitation:12%	6.9898	5.79620384836538e-05	150.86	82	272	273	61	133	599.8	0
fadD32	Rv3801c	long-chain-fatty-acid--AMP ligase FadD32	low_iron:9%	6.9649	5.89474552064097e-05	150.84	88	280	243	62	140	594.94	0
moxR1	Rv1479	transcriptional regulator MoxR1	microaerophilic:8%	7.0476	9.97625139840687e-05	136.1	83	174	222	99	125	772.8	0
fadE28	Rv3544c	acyl-CoA dehydrogenase FadE28	hypoxia_fatty_acids:27%	7.046	0.000104518196325401	135.78	89	166	147	109	179	802.01	0
serA1	Rv2996c	D-3-phosphoglycerate dehydrogenase	zinc_limitation:11%	7.0295	7.05597878636395e-05	147.81	86	235	211	77	166	670.15	0
espG1	Rv3866	ESX-1 secretion-associated protein EspG	human_sputum:8%	7.097	0.000119046190186716	139.11	91	128	110	131	262	889.82	0
vapC10	Rv1397c	ribonuclease VapC10	nutrient_limitation:22%; acidic_tyloxopol:11%; butyrate:10%	7.4822	0.000186512186518122	147.16	105	49	44	173	558	1557.75	0
Rv1073	Rv1073	hypothetical protein	PBS_RIF_DDmtb:16%; nutrient_limitation:10%	7.1075	0.000128245985752115	143.83	85	127	160	127	242	896.19	0
esxA	Rv3875	ESAT-6 protein EsxA	acidic:16%; zinc_limitation:12%	6.7597	9.51317115390752e-06	183.08	33	171	335	679	20	12652.86	30.36
Rv1410c	Rv1410c	aminoglycosides/tetracycline-transport integral membrane protein	zinc_limitation:10%	6.9176	7.63186606283762e-05	141.7	102	259	268	86	59	621.84	0
cpdA	Rv0805	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA	zinc_limitation:18%	7.031	0.000115622843789652	142.98	94	159	146	116	214	811.78	0
Rv0485	Rv0485	transcriptional regulator	microaerophilic:20%; low_iron:11%	6.946	9.20578484217325e-05	146.9	95	227	237	100	108	676.71	0
Rv2840c	Rv2840c	hypothetical protein	human_sputum:18%; ctl_exponential:11%	7.6726	0.000259377091124857	152.89	112	36	35	194	645	1993.36	0
atpH	Rv1307	ATP synthase subunit b/delta	INDIGO_exponential:12%; ctl_exponential:11%	6.9419	8.94293042943727e-05	147.41	96	232	249	96	102	669.97	0
MT3139.1	MT3139.1	hypothetical protein	human_sputum:8%	7.5059	0.000249070208526476	149.85	122	48	65	167	495	1559.94	0
eccA1	Rv3868	ESX-1 secretion system protein EccA1	microaerophilic:11%	6.9473	7.04571155150888e-05	159.52	92	264	242	78	167	611.86	0
clgR	Rv2745c	transcriptional regulator ClgR	ctl_stationary:25%; hypoxia_fatty_acids:20%; microaerophilic:11%	7.6007	0.000251448979122301	154.25	119	41	42	193	596	1808.31	0
hemA	Rv0509	glutamyl-tRNA reductase	zinc_limitation:10%	6.8919	8.69813456690659e-05	147.99	106	255	205	98	107	635.05	0
espK	Rv3879c	ESX-1 secretion-associated protein EspK	PBS_RIF_DDmtb:10%	6.8877	6.13526882400941e-05	182.48	97	332	414	57	134	535.42	0
fadE5	Rv0244c	acyl-CoA dehydrogenase FadE5	low_iron:23%	6.9197	7.26492967840314e-05	181.55	93	287	387	73	158	584.86	0
gmk	Rv1389	guanylate kinase	zinc_limitation:12%	7.1628	0.000200036154856603	170.61	107	94	109	164	485	1046.02	0
korB	Rv2454c	2-oxoglutarate oxidoreductase subunit KorB	zinc_limitation:11%	6.9175	0.000122733557814995	157.55	109	209	173	117	193	704.76	0
espE	Rv3864	ESX-1 secretion-associated protein EspE	hypoxia_rar:9%	6.9175	0.000115140969462777	172.29	100	222	307	105	168	685.04	0
tkt	Rv1449c	transketolase	zinc_limitation:8%	6.8582	7.27689152983375e-05	191.29	108	334	418	66	142	532.01	0
ispD	Rv3582c	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	microaerophilic:25%	7.0805	0.000185823494982067	178.2	104	115	129	160	476	948.06	0
nrdI	Rv3052c	NrdI protein	low_iron:10%	7.3056	0.000366213780029162	174.63	116	63	57	199	661	1310.17	0
otsB1	Rv2006	trehalose-6-phosphate phosphatase OtsB	hypoxia_hypoxic:15%; ctl_stationary:10%	6.7134	3.76458954721553e-05	215.79	142	572	462	40	96	374.95	0
ppsA	Rv2931	phthiocerol synthesis polyketide synthase type I PpsA	zinc_limitation:16%; hypoxia_rar:12%; human_sputum:10%	6.7162	2.45028518880993e-05	224.36	159	699	548	22	60	328.52	0
alaS	Rv2555c	alanine--tRNA ligase	microaerophilic:34%	6.7513	5.97589031505509e-05	203.48	128	453	407	55	124	446.43	0
lppD	Rv1899c	lipoprotein LppD	microaerophilic:15%	6.9257	0.000144288294783661	178.74	114	194	204	135	267	731.08	0
fadD26	Rv2930	fatty-acid--CoA ligase FadD26	zinc_limitation:18%; hypoxia_rar:13%	6.7695	8.99466452131619e-05	180.4	118	330	382	94	79	535.13	0
fbpB	Rv1886c	diacylglycerol acyltransferase/mycolyltransferase Ag85B	tyloxopol:11%	6.935	0.000151690979046351	179.48	110	181	189	134	314	751.4	0
narK2	Rv1737c	nitrate/nitrite transporter	cholesterol:34%; hypoxia_hypoxic:11%	6.8935	0.000157458790765279	172.67	125	225	233	112	187	677.2	0
PE13	Rv1195	PE family protein PE13	hypoxia_hypoxic:31%; hypoxia_rar:17%	6.7007	7.71148425935754e-05	173.02	78	192	208	725	3	3212.36	6.7
ppsC	Rv2933	phthiocerol synthesis polyketide synthase type I PpsC	zinc_limitation:16%; hypoxia_rar:12%; human_sputum:11%	6.6945	2.15958926520212e-05	243.79	170	759	675	19	51	304.36	0
pstS2	Rv0932c	phosphate ABC transporter substrate-binding lipoprotein PstS	zinc_limitation:9%	6.8929	0.000140454705024774	183.26	111	215	282	118	220	694.31	0
cyp142	Rv3518c	cytochrome P450 monooxygenase Cyp142	hypoxia_fatty_acids:27%	6.8545	0.000137046792593255	185.96	113	238	289	123	197	657.56	0
hsaC	Rv3568c	extradiol dioxygenase	hypoxia_fatty_acids:19%	6.9254	0.000160998366361171	189.66	115	173	159	144	415	769.47	0
mmpL3	Rv0206c	transmembrane transport protein MmpL3	high_iron:8%	6.7205	5.86596119098414e-05	222.64	126	476	540	53	122	429.78	0
mbtB	Rv2383c	phenyloxazoline synthase	low_iron:51%; hypoxia_late:12%	6.6791	4.01718745664635e-05	235.43	154	609	570	38	92	357.57	0
fbiC	Rv1173	FO synthase	PBS_RIF_DDmtb:7%	6.6611	6.65623522382053e-05	216.38	135	478	392	65	149	427.59	0
fadA5	Rv3546	acetyl-CoA acetyltransferase FadA	hypoxia_fatty_acids:48%; hypoxia_late:10%; human_sputum:10%	6.774	0.000147284152281165	206.1	123	258	229	136	318	624.28	0
secA2	Rv1821	protein translocase subunit SecA	zinc_limitation:10%	6.7295	7.60495057519552e-05	225.04	127	439	508	68	144	459.29	0
Rv1065	Rv1065	hypothetical protein	acidic_tyloxopol:14%; zinc_limitation:12%	7.0916	0.000766795639344035	210.27	140	101	100	206	690	1031.8	0
MT1218	MT1218	mycocerosic acid synthase	acidic:18%; acidic_tyloxopol:14%	6.6097	2.89028353407847e-05	281.29	187	800	847	23	64	291.67	0
Rv3519	Rv3519	hypothetical protein	hypoxia_fatty_acids:12%	6.9501	0.000392744226940683	215.04	133	140	133	184	618	855.67	0
glnA1	Rv2220	glutamine synthetase	tyloxopol:12%	6.6615	0.000134430702191403	212.28	134	333	271	124	238	533.55	0
pks4	Rv1181	polyketide beta-ketoacyl synthase	acidic:18%; acidic_tyloxopol:15%; butyrate_plus_glucose:11%	6.5675	4.04907512759061e-05	263.37	181	729	610	39	95	315.6	0
Rv2172c	Rv2172c	hypothetical protein	zinc_limitation:12%	6.8578	0.000226028317497421	217.63	131	195	200	157	470	730.76	0
atpF	Rv1306	ATP synthase subunit B	ctl_exponential:13%; INDIGO_exponential:13%	7.1507	0.00112524961099267	212.43	141	85	104	217	721	1113.89	0
Rv0276	Rv0276	hypothetical protein	hypoxia_fatty_acids:12%	6.837	0.000219441667166969	219.84	129	202	194	162	480	715.9	0
ahpC	Rv2428	alkyl hydroperoxide reductase subunit AhpC	zinc_limitation:27%; hypoxia_rar:10%; hypoxia_hypoxic:10%	7.0495	0.000828978257843828	215.31	121	107	117	212	710	987.78	0
lepB	Rv2903c	signal peptidase	high_iron:10%	6.8397	0.000232084414856265	223.1	137	196	178	163	523	728.23	0
sppA	Rv0724	protease IV SppA	cholesterol:11%; zinc_limitation:10%	6.6005	0.000109925861117617	220.87	145	437	391	102	132	462.55	0
fadA	Rv0859	acyltransferase	cholesterol:13%	6.711	0.000189812535044237	238.73	138	286	312	143	360	590.86	0
gltB	Rv3859c	glutamate synthase large subunit	zinc_limitation:10%	6.5277	4.49922276208785e-05	290.37	184	743	774	43	100	311.37	0
hsaD	Rv3569c	4,5:9,10-diseco-3-hydroxy-5,9, 17-trioxoandrosta-1(10),2-diene-4-oate hydrolase	hypoxia_fatty_acids:25%; nutrient_limitation:11%	6.8041	0.000360745365805055	246.44	132	206	245	175	565	711.72	0
Rv1132	Rv1132	hypothetical protein	PBS_RIF_DDmtb:13%	6.6021	0.000129649538330212	249.3	146	421	522	107	173	477.04	0
fas	Rv2524c	fatty acid synthase	microaerophilic:16%; acidic:14%	6.5161	2.04942994140736e-05	331	268	1063	959	18	46	235.45	0
echA20	Rv3550	enoyl-CoA hydratase EchA20	human_sputum:36%; hypoxia_fatty_acids:12%; hypoxia_late:12%	6.8857	0.000758107287519246	246.27	155	165	184	198	652	803.33	0
gcvB	Rv1832	glycine dehydrogenase	PBS_RIF_DDmtb:10%	6.4619	8.17437994392922e-05	234.82	182	605	502	82	50	357.58	0
mbtM	Rv1345	long-chain-fatty-acid--ACP ligase MbtM	low_iron:33%	6.5847	0.000152957296305543	249.06	151	393	417	122	235	487.83	0
eccD5	Rv1795	ESX-5 type VII secretion system protein EccD	butyrate_plus_glucose:8%	6.575	0.000159446855189218	250.95	153	391	326	140	295	492.07	0
ctaD	Rv3043c	cytochrome C oxidase cytochrome 1	tyloxopol:14%	6.5295	0.000138858205484804	247.42	157	446	396	114	208	453.12	0
mkl	Rv0655	ribonucleotide ABC transporter ATP-binding protein	INDIGO_exponential:9%	6.6903	0.000251483576467925	256.12	149	269	261	168	497	606.84	0
cyp125	Rv3545c	steroid C26-monooxygenase	hypoxia_fatty_acids:39%	6.6337	0.000194540813731541	262.86	139	318	394	147	379	542.81	0
espI	Rv3876	ESX-1 secretion-associated protein EspI	human_sputum:15%	6.4783	0.000125403895878354	256.32	164	498	463	106	172	413.13	0
Rv2660c	Rv2660c	hypothetical protein	hypoxia_fatty_acids:26%; ctl_stationary:11%; acidic_tyloxopol:10%	7.5644	0.0321997283309876	325.5	186	34	32	283	2329	2037.2	0
espJ	Rv3878	ESX-1 secretion-associated protein EspJ	tyloxopol:8%	6.7612	0.000898025252528079	268.26	158	211	216	201	672	699.74	0
lipC	Rv0220	esterase LipC	high_iron:8%	6.607	0.000233034701202521	271.21	150	316	324	158	473	547.62	0
sigE	Rv1221	ECF RNA polymerase sigma factor SigE	hypoxia_fatty_acids:15%	6.8122	0.00119593386583894	258.54	160	183	175	209	704	749.35	0
MT2779	MT2779	hypothetical protein	human_sputum:14%; hypoxia_fatty_acids:13%	7.666	0.0324540155629814	333.55	188	25	20	327	2505	2349.77	0
dfp	Rv1391	bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase	microaerophilic:12%; cholesterol:12%	6.6126	0.000273856105281404	272.71	169	320	340	154	434	541.27	0
rpsG	Rv0683	30S ribosomal protein S7	human_sputum:9%	7.1394	0.0243851545859182	298.07	136	81	75	233	1742	1143.85	0
glpQ1	Rv3842c	glycerophosphoryl diester phosphodiesterase	cholesterol:18%; butyrate:16%	6.7597	0.00111446900720367	269.24	156	208	202	208	702	704.95	0
cspA	Rv3648c	cold shock protein A	ctl_exponential:12%	7.6539	0.0445588601115804	339.41	272	27	24	289	2355	2267.09	0
rplO	Rv0723	50S ribosomal protein L15	INDIGO_exponential:10%	7.1806	0.0340923693081551	314.48	166	71	99	228	1790	1206.73	0
eccA3	Rv0282	ESX-3 secretion system protein EccA	microaerophilic:43%; zinc_limitation:17%	6.3279	1.68384333550806e-05	336	69	345	1059	736	26	1699.44	4.65
eccE3	Rv0292	ESX-3 secretion system protein EccE	microaerophilic:21%; low_iron:14%; zinc_limitation:10%	6.6875	0.000700394129922069	278.82	193	257	263	181	571	622.95	0
mmpL7	Rv2942	transmembrane transport protein MmpL7	high_iron:11%	6.3839	9.54466669862801e-05	270.72	190	658	596	93	77	341.08	0
Rv1627c	Rv1627c	nonspecific lipid-transfer protein	hypoxia_fatty_acids:16%	6.5847	0.000367723944920437	289.93	173	324	346	169	501	537.66	0
ctpH	Rv0425c	metal cation transporting ATPase H	zinc_limitation:11%	6.3565	5.84823233349483e-05	325.18	228	874	765	50	116	274.7	0
